Journal title,Eligible,NLM TA,pISSN,eISSN,Publisher,LOCATORplus ID,Latest issue,Earliest volume,Free access,Open access,Participation level, Deposit status, Journal URL
Case Reports in Oncology,0,Case Rep Oncol,,1662-6575,Karger Publishers,101517601,v.11(3);Sep-Dec 2018,v.1;2008,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1127/
Case Reports in Oncological Medicine,0,Case Rep Oncol Med,2090-6706,2090-6714,Hindawi Limited,101581035,v.2019;2019,v.2011;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1803/
Case Reports in Ophthalmology,0,Case Rep Ophthalmol,,1663-2699,Karger Publishers,101532006,v.9(3);Sep-Dec 2018,v.1;2010,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1269/
Case Reports in Ophthalmological Medicine,0,Case Rep Ophthalmol Med,2090-6722,2090-6730,Hindawi Limited,101581018,v.2019;2019,v.2011;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1799/
Case Reports in Orthopedics,0,Case Rep Orthop,2090-6749,2090-6757,Hindawi Limited,101591806,v.2019;2019,v.2011;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1948/
Case Reports in Otolaryngology,0,Case Rep Otolaryngol,2090-6765,2090-6773,Hindawi Limited,101576603,v.2019;2019,v.2011;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1878/
Case Reports in Pancreatic Cancer,0,Case Rep Pancreat Cancer,,2379-9897,"Mary Ann Liebert, Inc.",101727900,v.2(1);2016,v.1;2015,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/3549/
Case Reports in Pathology,0,Case Rep Pathol,2090-6781,2090-679X,Hindawi Limited,101576609,v.2019;2019,v.2011;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1879/
Case Reports in Pediatrics,0,Case Rep Pediatr,2090-6803,2090-6811,Hindawi Limited,101581030,v.2019;2019,v.2011;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1802/
Case Reports in Psychiatry,1,Case Rep Psychiatry,2090-682X,2090-6838,Hindawi Limited,101583308,v.2019;2019,v.2011;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1880/
Case Reports in Pulmonology,0,Case Rep Pulmonol,2090-6846,2090-6854,Hindawi Limited,101585355,v.2018;2018,v.2011;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1881/
Case Reports in Radiology,0,Case Rep Radiol,2090-6862,2090-6870,Hindawi Limited,101580187,v.2019;2019,v.2011;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1806/
Case Reports in Rheumatology,0,Case Rep Rheumatol,2090-6889,2090-6897,Hindawi Limited,101585353,v.2019;2019,v.2011;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1882/
Case Reports in Surgery,0,Case Rep Surg,2090-6900,2090-6919,Hindawi Limited,101580191,v.2019;2019,v.2011;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1807/
Case Reports in Transplantation,0,Case Rep Transplant,2090-6943,2090-6951,Hindawi Limited,101591863,v.2018;2018,v.2011;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1949/
Case Reports in Urology,0,Case Rep Urol,2090-696X,2090-6978,Hindawi Limited,101580193,v.2019;2019,v.2011;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1808/
Case Reports in Vascular Medicine,0,Case Rep Vasc Med,2090-6986,2090-6994,Hindawi Limited,101585357,v.2018;2018,v.2011;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1883/
Case Reports in Veterinary Medicine,0,Case Rep Vet Med,2090-7001,2090-701X,Hindawi Limited,101586276,v.2018;2018,v.2016;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3461/
Case Reports in Women's Health,0,Case Rep Womens Health,,2214-9112,Elsevier,101682122,v.21;Jan 2019,v.5;2015,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3412/
Case Reports in Hepatology,0,Case Reports Hepatol,2090-6587,2090-6595,Hindawi Limited,101622103,v.2018;2018,v.2011;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2587/
Case Reports in Immunology,0,Case Reports Immunol,2090-6609,2090-6617,Hindawi Limited,101622188,v.2019;2019,v.2011;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2588/
Case Reports in Plastic Surgery &#x0026; Hand Surgery,0,Case Reports Plast Surg Hand Surg,,2332-0885,Taylor &#x0026; Francis,101655541,v.5(1);2018,v.1;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2799/
Cases Journal,0,Cases J,,1757-1626,BioMed Central,101474272,v.3;2010,v.1;2008,,All, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/619/
Caspian Journal of Internal Medicine,0,Caspian J Intern Med,2008-6164,2008-6172,Babol University of Medical Sciences,101523876,v.9(4);Autumn 2018,v.2;2011,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2021/
CBE Life Sciences Education,0,CBE Life Sci Educ,,1931-7913,American Society for Cell Biology,101269039,v.17(3);Fall 2018,v.5;2006,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/421/
Cell Adhesion &#x0026; Migration,0,Cell Adh Migr,1933-6918,1933-6926,Taylor &#x0026; Francis,101469464,v.12(3);2018,v.1;2007,12 months or less,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/806/
Cell Biology Education,0,Cell Biol Educ,,1536-7509,American Society for Cell Biology,101133110,v.4(4);Winter 2005,v.1;2002,Immediate,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/97/
Cell Biology International Reports,0,Cell Biol Int Rep (2010),,2041-5346,Portland Press Ltd,101574535,v.19(2);2012,v.17;2010,,All, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/1917/
Cell &#x0026; Bioscience,0,Cell Biosci,,2045-3701,BioMed Central,101561195,v.9;2019,v.1;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1552/
Cell &#x0026; Chromosome,0,Cell Chromosome,,1475-9268,BioMed Central,101147638,v.7;2008,v.1;2002,,All, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/108/
Cell Communication and Signaling : CCS,0,Cell Commun Signal,,1478-811X,BioMed Central,101170464,v.17;2019,v.1;2003,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/221/
Cell Cycle,0,Cell Cycle,1538-4101,1551-4005,Taylor &#x0026; Francis,101137841,v.18(2);2019,v.8;2009,12 months,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1362/
Cell Death and Differentiation,0,Cell Death Differ,1350-9047,1476-5403,Nature Publishing Group,9437445,v.26(2);Feb 2019,v.18;2011,12 months,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1474/
Cell Death &#x0026; Disease,0,Cell Death Dis,,2041-4889,Nature Publishing Group,101524092,v.10(2);Feb 2019,v.1;2010,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1437/
Cell Death Discovery,0,Cell Death Discov,,2058-7716,Nature Publishing Group,101665035,v.5;2019,v.1;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2906/
Cell Discovery,0,Cell Discov,,2056-5968,Nature Publishing Group,101661034,v.5;2019,v.1;2015,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2937/
Cell Division,0,Cell Div,,1747-1028,BioMed Central,101251560,v.14;2019,v.1;2006,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/412/
Cell Journal (Yakhteh),0,Cell J,2228-5806,2228-5814,Royan Institute,101566618,v.21(1);Spring 2019,v.13;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1962/
Cellular Logistics,0,Cell Logist,2159-2780,2159-2799,Taylor &#x0026; Francis,101556177,v.7(4);2017,v.1;2011,,Some, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/1545/
Cell Medicine,0,Cell Med,,2155-1790,SAGE Publications,101544564,v.10;2018,v.1;2010,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2874/
Cellular &#x0026; Molecular Biology Letters,0,Cell Mol Biol Lett,1425-8153,1689-1392,BioMed Central,9607427,v.24;2019,v.11;2006,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3141/
Cellular and Molecular Gastroenterology and Hepatology,0,Cell Mol Gastroenterol Hepatol,,2352-345X,Elsevier,101648302,v.7(2);2019,v.1;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3079/
Cellular and Molecular Immunology,0,Cell Mol Immunol,1672-7681,2042-0226,Nature Publishing Group,101242872,v.16(2);Feb 2019,v.5;2008,12 months,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2394/
Cellular Oncology : the Official Journal of the International Society for Cellular Oncology,0,Cell Oncol,1570-5870,1875-8606,Hindawi Limited,101219418,v.32(5-6);2010,v.26;2004,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/2835/
Cellular Physiology and Biochemistry,0,Cell Physiol Biochem,1015-8987,1421-9778,Karger Publishers,9113221,v.35(1);Jan 2015,v.22;2008,,Some, NIH Portfolio , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Cell+Physiol+Biochem%22%5Bjournal%5D
Cell Regeneration,0,Cell Regen (Lond),,2045-9769,"Guangzhou Institutes of Biomedicine and Health, Chinese Academy of Sciences",101627311,v.7(2);Dec 2018,v.1;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2627/
Cell Regulation,0,Cell Regul,1044-2030,,American Society for Cell Biology,9005331,v.2(12);Dec 1991,v.1;1989,Immediate,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/181/
Cellular Reprogramming,0,Cell Reprogram,2152-4971,2152-4998,"Mary Ann Liebert, Inc.",101528176,"v.20(6);Dec 1, 2018",v.12;2010,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Cell+Reprogram%22%5Bjournal%5D
Cell Research,0,Cell Res,1001-0602,1748-7838,Nature Publishing Group,9425763,v.29(2);Feb 2019,v.21;2011,12 months,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1475/
Cell Stress &#x0026; Chaperones,0,Cell Stress Chaperones,1355-8145,1466-1268,Cell Stress Society International,9610925,v.23(6);Nov 2018,v.1;1996,6 months or less,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/127/
Cell Transplantation,0,Cell Transplant,0963-6897,1555-3892,SAGE Publications,9208854,v.28(1);Jan 2019,v.26;2017,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3327/
Cells,0,Cells,,2073-4409,Multidisciplinary Digital Publishing Institute  (MDPI),101600052,v.8(1);Jan 2019,v.1;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2106/
"Cells, Tissues, Organs",0,Cells Tissues Organs,1422-6405,1422-6421,Karger Publishers,100883360,v.196(5);Oct 2012,v.189;2008,,Some, NIH Portfolio , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Cells+Tissues+Organs%22%5Bjournal%5D
CEN Case Reports,0,CEN Case Rep,,2192-4449,Springer,101636244,v.7(2);Nov 2018,v.1;2012,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3132/
Central Asian Journal of Global Health,0,Cent Asian J Glob Health,,2166-7403,"University Library Systems, University of Pittsburgh",101617990,v.6(1);2017,v.1;2012,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3319/
Central-European Journal of Immunology,0,Cent Eur J Immunol,1426-3912,1644-4124,Termedia Publishing,9702239,v.43(3);2018,v.39;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2700/
Central European Journal of Urology,0,Cent European J Urol,2080-4806,2080-4873,Polish Urological Association,101587101,v.71(4);2018,v.64;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2234/
"Cerebral Cortex (New York, NY)",0,Cereb Cortex,1047-3211,1460-2199,Oxford University Press,9110718,v.29(2);Feb 2019,v.18;2008,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Cereb+Cortex%22%5Bjournal%5D
Cerebellum &#x0026; Ataxias,0,Cerebellum Ataxias,,2053-8871,BioMed Central,101648460,v.6;2019,v.1;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2801/
Cerebrospinal Fluid Research,0,Cerebrospinal Fluid Res,,1743-8454,BioMed Central,101237904,v.7;2010,v.1;2004,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/289/
"Cerebrovascular Diseases (Basel, Switzerland)",0,Cerebrovasc Dis,1015-9770,1421-9786,Karger Publishers,9100851,v.40(3-4);Sep 2015,v.24;2007,,Some, NIH Portfolio , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Cerebrovasc+Dis%22%5Bjournal%5D
Cerebrovascular Diseases Extra,0,Cerebrovasc Dis Extra,,1664-5456,Karger Publishers,101577885,v.8(2);May-Aug 2018,v.1;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1748/
Cerebrum: the Dana Forum on Brain Science,1,Cerebrum,1524-6205,1943-3859,Dana Foundation,100888555,v.2017;Nov-Dec 2017,v.2010;2010,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1764/
Channels,0,Channels (Austin),1933-6950,1933-6969,Taylor &#x0026; Francis,101321614,v.13(1);2019,v.1;2007,12 months,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1373/
Chaos,0,Chaos,1054-1500,1089-7682,American Institute of Physics,100971574,v.28(11);Nov 2018,v.18;2008,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Chaos%22%5Bjournal%5D
Chemistry Central Journal,0,Chem Cent J,,1752-153X,BioMed Central,101314213,v.12;2018,v.1;2007,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/512/
Chemical Science,0,Chem Sci,2041-6520,2041-6539,Royal Society of Chemistry,101545951,"v.10(2);Jan 14, 2019",v.6;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3127/
Chemical Senses,0,Chem Senses,0379-864X,1464-3553,Oxford University Press,8217190,v.44(2);Jan 2019,v.33;2008,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Chem+Senses%22%5Bjournal%5D
ChemistryOpen,0,ChemistryOpen,,2191-1363,Wiley-Blackwell,101594811,v.8(1);Jan 2019,v.1;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1983/
Chemotherapy Research and Practice,0,Chemother Res Pract,2090-2107,2090-2115,Hindawi Limited,101566606,v.2017;2017,v.2010;2010,,All, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/1713/
Chemotherapy,0,Chemotherapy,0009-3157,1421-9794,Karger Publishers,144731,v.57(4);Sep 2011,v.54;2008,,No, NIH Portfolio , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Chemotherapy%22%5Bjournal%5D
Chest,0,Chest,0012-3692,1931-3543,American College of Chest Physicians,231335,v.155(1);Jan 2019,v.134;2008,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Chest%22%5Bjournal%5D
Child and Adolescent Psychiatry and Mental Health,1,Child Adolesc Psychiatry Ment Health,,1753-2000,BioMed Central,101297974,v.13;2019,v.1;2007,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/500/
Child Neurology Open,0,Child Neurol Open,,2329-048X,SAGE Publications,101691975,v.5;2018,v.1;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3184/
Childhood Obesity,0,Child Obes,2153-2168,2153-2176,"Mary Ann Liebert, Inc.",101542497,"v.15(1);Jan 1, 2019",v.6;2010,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Child+Obes%22%5Bjournal%5D
Children,0,Children (Basel),,2227-9067,Multidisciplinary Digital Publishing Institute  (MDPI),101648936,v.6(1);Jan 2019,v.1;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2993/
Chimerism,0,Chimerism,1938-1956,1938-1964,Taylor &#x0026; Francis,101540510,v.6(4);Oct-Dec 2015,v.1;2010,,Some, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/1372/
Chinese Journal of Cancer,0,Chin J Cancer,1000-467X,1944-446X,BioMed Central,101498232,v.37;2018,v.30;2011,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/2117/
Chinese Journal of Cancer Research,0,Chin J Cancer Res,1000-9604,1993-0631,Beijing Institute for Cancer Research,9315242,v.30(6);Dec 2018,v.23;2011,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1997/
Chinese Journal of Traumatology,0,Chin J Traumatol,1008-1275,,Elsevier,100886162,v.21(6);Dec 2018,v.19;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3010/
Chinese Medicine,0,Chin Med,,1749-8546,BioMed Central,101265109,v.14;2019,v.1;2006,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/463/
Chinese Medical Journal,0,Chin Med J (Engl),0366-6999,,Wolters Kluwer -- Medknow Publications,7513795,"v.131(24);Dec 20, 2018",v.128;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2337/
Chiropractic &#x0026; Manual Therapies,0,Chiropr Man Therap,,2045-709X,BioMed Central,101551481,v.27;2019,v.19;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1452/
Chiropractic &#x0026; Osteopathy,0,Chiropr Osteopat,,1746-1340,BioMed Central,101245797,v.18;2010,v.13;2005,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/321/
Cholesterol,0,Cholesterol,2090-1283,2090-1291,Hindawi Limited,101540641,v.2018;2018,v.2010;2010,,All, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/1489/
Chonnam Medical Journal,0,Chonnam Med J,2233-7385,2233-7393,Chonnam National University Medical School and Chonnman National University Research Institute of Medical Sciences,101564659,v.54(3);Sep 2018,v.47;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1668/
Chronic Respiratory Disease,0,Chron Respir Dis,1479-9723,1479-9731,SAGE Publications,101197408,v.16;Jan-Dec 2019,v.13;2016,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3347/
Chronic Diseases and Translational Medicine,0,Chronic Dis Transl Med,2095-882X,2589-0514,Chinese Medical Association,101679934,v.4(4);Dec 2018,v.1;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3302/
Chronic Obstructive Pulmonary Diseases: Journal of the COPD Foundation,0,Chronic Obstr Pulm Dis,,2372-952X,COPD Foundation,101635411,v.5(4);2018,v.1;2014,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3246/
Tzu-Chi Medical Journal,0,Ci Ji Yi Xue Za Zhi,1016-3190,2223-8956,Wolters Kluwer/Medknow Publications,9514171,v.31(1);Jan-Mar 2019,v.28;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3224/
Cilia,0,Cilia,,2046-2530,BioMed Central,101585639,v.7;2018,v.1;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1982/
The Clinical Biochemist Reviews,0,Clin Biochem Rev,0159-8090,,The Australian Association of Clinical Biochemists,8215797,v.39(2);May 2018,v.24;2003,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/314/
Clinical Case Reports,0,Clin Case Rep,,2050-0904,Wiley-Blackwell,101620385,v.7(1);Jan 2019,v.1;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2542/
Clinical Cases in Mineral and Bone Metabolism,0,Clin Cases Miner Bone Metab,1724-8914,1971-3266,CIC Edizioni Internazionali,101250935,v.14(3);Sep-Dec 2017,v.4;2007,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/969/
Clinics in Colon and Rectal Surgery,0,Clin Colon Rectal Surg,1531-0043,1530-9681,Thieme Medical Publishers,101084157,v.32(1);Jan 2019,v.17;2004,12 months,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/396/
"Clinical, Cosmetic and Investigational Dentistry",0,Clin Cosmet Investig Dent,,1179-1357,Dove Press,101579785,v.11;2019,v.1;2009,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2078/
"Clinical, Cosmetic and Investigational Dermatology",0,Clin Cosmet Investig Dermatol,,1178-7015,Dove Press,101543449,v.12;2019,v.1;2008,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1442/
Clinical and Developmental Immunology,0,Clin Dev Immunol,1740-2522,1740-2530,Hindawi Limited,101183692,v.2013;2013,v.10;2003,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/499/
Clinical Diabetes : A Publication of the American Diabetes Association,0,Clin Diabetes,0891-8929,1945-4953,American Diabetes Association,8406985,v.37(1);Jan 2019,v.32;2014,12 months,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2502/
Clinical Diabetes and Endocrinology,0,Clin Diabetes Endocrinol,,2055-8260,BioMed Central,101669619,v.5;2019,v.1;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3232/
Clinical and Diagnostic Laboratory Immunology,0,Clin Diagn Lab Immunol,1071-412X,1098-6588,American Society for Microbiology (ASM),9421292,v.12(12);Dec 2005,v.1;1994,6 months,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/84/
Clinical Endoscopy,0,Clin Endosc,2234-2400,2234-2443,Korean Society of Gastrointestinal Endoscopy,101576886,v.51(6);Nov 2018,v.44;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1800/
Clinical Epidemiology,0,Clin Epidemiol,,1179-1349,Dove Press,101531700,v.11;2019,v.1;2009,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1301/
Clinical Epigenetics,0,Clin Epigenetics,1868-7075,1868-7083,BioMed Central,101516977,v.11;2019,v.1;2010,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1699/
Clinical Evidence,0,Clin Evid,1462-3846,,BMJ Publishing Group,100883600,v.2005;2005,v.2003;2003,24 months,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/2037/
Clinical and Experimental Dental Research,0,Clin Exp Dent Res,,2057-4347,Wiley-Blackwell,101692332,v.4(6);Dec 2018,v.1;2015,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3368/
Clinical and Experimental Emergency Medicine,0,Clin Exp Emerg Med,,2383-4625,The Korean Society of Emergency Medicine,101657493,v.5(4);Dec 2018,v.1;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3081/
Clinical and Experimental Gastroenterology,0,Clin Exp Gastroenterol,,1178-7023,Dove Press,101532800,v.12;2019,v.1;2008,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1504/
Clinical and Experimental Hepatology,0,Clin Exp Hepatol,2392-1099,2449-8238,Termedia Publishing,101703431,v.4(4);Dec 2018,v.1;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3191/
Clinical and Experimental Immunology,0,Clin Exp Immunol,0009-9104,1365-2249,British Society for Immunology,57202,v.195(2);Feb 2019,v.1;1966,12 months,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/335/
Clinical and Experimental Otorhinolaryngology,0,Clin Exp Otorhinolaryngol,1976-8710,2005-0720,Korean Society of Otorhinolaryngology - Head and Neck Surgery,101474010,v.12(1);Feb 2019,v.1;2008,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/880/
Clinical and Experimental Reproductive Medicine,0,Clin Exp Reprod Med,2233-8233,2233-8241,Korean Society for Reproductive Medicine,101563916,v.45(4);Dec 2018,v.38;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1702/
Clinical and Experimental Vaccine Research,0,Clin Exp Vaccine Res,2287-3651,2287-366X,Korean Vaccine Society,101592344,v.7(2);Jul 2018,v.1;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2052/
Clinical Hypertension,0,Clin Hypertens,,2056-5909,BioMed Central,101669508,v.25;2019,v.20;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2919/
Clinical Infectious Diseases: An Official Publication of the Infectious Diseases Society of America,0,Clin Infect Dis,1058-4838,1537-6591,Oxford University Press,9203213,"v.68(3);Feb 1, 2019",v.46;2008,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Clin+Infect+Dis%22%5Bjournal%5D
Clinical Interventions in Aging,0,Clin Interv Aging,1176-9092,1178-1998,Dove Press,101273480,v.14;2019,v.1;2006,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/502/
Clinical Journal of the American Society of Nephrology : CJASN,0,Clin J Am Soc Nephrol,1555-9041,1555-905X,American Society of Nephrology,101271570,"v.13(12);Dec 7, 2018",v.3;2008,12 months,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/613/
Clinical Kidney Journal,0,Clin Kidney J,2048-8505,2048-8513,Oxford University Press,101579321,v.11(6);Dec 2018,v.5;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1780/
Clinical Medicine,0,Clin Med (Lond),1470-2118,1473-4893,Royal College of Physicians,101092853,v.18(5);Oct 2018,v.1;2001,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2945/
Clinical Medicine. Cardiology,0,Clin Med Cardiol,,1178-1165,Libertas Academica,101466475,v.3;2009,v.3;2009,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/1228/
Clinical Medicine. Case Reports,0,Clin Med Case Rep,,1178-6450,Libertas Academica,101515695,v.2;2009,v.1;2008,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/2216/
"Clinical Medicine. Circulatory, Respiratory and Pulmonary Medicine",0,Clin Med Circ Respirat Pulm Med,,1178-1157,Libertas Academica,101467908,v.3;2009,v.2;2008,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/1399/
